"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20","Perf(%)",
TSLA,438.09,4.06,28414500,420.26,419.97,420.84,397.14,339.83,319.83,301.31,426.40,416.29,327.50,7,10,-0.88,-0.31,-3.84,
JKS,72.35,28.44,11596900,63.96,63.48,61.18,46.53,36.00,33.68,31.83,65.71,40.94,29.80,18,20,0.75,1.02,-13.63,
NVDA,566.40,2.65,7975700,536.33,534.15,533.73,510.22,460.03,442.07,425.16,540.02,521.37,455.76,14,15,-1.14,-0.28,-3.74,
AMZN,3322.00,2.49,5789300,3187.11,3186.33,3192.33,3156.45,2980.93,2907.47,2836.04,3232.88,3217.67,3020.74,15,15,-4.00,-1.28,-5.37,
ENPH,120.26,13.25,4929100,107.93,106.12,103.45,89.38,75.80,71.79,68.15,106.53,86.55,71.41,16,15,0.40,0.71,-2.64,
FVRR,175.54,10.12,3492600,160.95,159.88,158.14,139.62,114.66,107.02,100.26,163.38,138.94,108.46,16,17,0.13,0.60,-12.23,
ANTM,319.60,-2.52,2333200,302.50,298.09,293.93,282.99,277.47,276.45,275.71,295.98,279.61,276.04,14,12,0.60,0.80,0.88,
COST,385.23,2.41,2255800,373.69,372.15,369.98,356.62,341.76,337.25,333.03,373.69,355.60,335.39,14,13,0.43,0.68,-5.25,
FDX,279.07,3.70,2234600,272.07,271.92,270.03,245.38,214.70,206.77,200.41,274.97,246.99,198.84,17,19,0.53,0.92,-5.44,
GOOG,1763.37,0.81,2065800,1673.77,1639.93,1608.12,1552.17,1504.19,1487.36,1471.16,1599.24,1554.71,1510.24,14,12,6.66,5.33,-0.02,
GOOGL,1762.50,0.95,1987900,1670.03,1635.50,1603.37,1547.93,1501.08,1484.55,1468.67,1594.03,1549.41,1508.47,14,12,6.55,5.26,-0.06,
LRCX,399.71,5.09,1812900,370.74,364.61,359.53,347.31,332.56,326.88,321.21,362.73,345.01,334.24,16,14,0.38,0.70,4.15,
AYX,144.67,6.63,1673300,135.10,134.94,134.09,131.46,131.46,130.84,129.92,138.18,122.95,139.22,14,11,0.06,0.39,-20.36,
EXAS,126.68,2.87,1610000,122.95,119.60,114.77,101.13,94.13,92.83,91.88,113.24,94.15,91.79,10,11,0.99,0.96,-2.78,
TMO,514.76,0.74,1526100,494.75,486.92,477.77,447.70,416.63,406.94,398.06,477.39,444.44,408.94,18,17,1.93,1.87,-5.78,
BNTX,92.00,1.44,1459800,88.27,87.35,85.78,78.36,70.33,67.43,64.60,88.24,74.73,70.12,10,7,0.27,0.47,13.91,
TTD,647.30,2.35,1404100,611.69,606.92,597.26,538.37,473.46,453.40,435.14,612.95,524.71,463.18,20,20,1.69,3.06,17.62,
SOXL,335.15,13.19,1371000,287.75,283.25,280.42,261.46,238.45,232.35,227.16,289.90,262.66,228.23,17,16,-0.44,0.42,1.13,
HUM,440.79,-2.48,1324400,429.27,427.28,425.45,415.67,401.59,396.14,390.72,429.32,415.44,404.12,13,12,0.23,0.54,-4.04,
NOW,531.08,3.41,1186500,505.73,504.11,502.05,480.49,445.87,433.72,422.16,508.16,481.30,445.33,17,18,0.20,0.72,-5.48,
EV,62.15,0.34,1125800,61.20,60.45,58.36,49.90,45.27,44.45,43.89,61.11,46.73,42.46,10,7,0.69,0.77,3.48,
QDEL,281.80,5.77,1099700,266.28,263.11,257.47,236.17,213.08,204.15,195.43,262.52,223.45,221.47,18,20,0.69,1.31,-27.73,
PCTY,191.02,-5.46,1099200,190.24,188.75,185.32,167.47,152.46,148.40,144.76,189.14,161.55,148.73,19,20,0.85,1.12,7.05,
MLM,260.21,2.54,941200,262.12,261.03,257.91,241.23,230.35,228.72,227.72,260.99,234.63,221.98,16,18,0.47,0.82,0.47,
SOXX,337.79,4.49,936200,319.75,317.82,316.39,306.71,291.17,285.82,280.77,319.95,307.83,290.38,11,8,-0.09,0.24,0.45,
MELI,1437.80,9.28,902200,1309.28,1288.67,1261.37,1169.92,1062.45,1025.45,990.81,1276.60,1166.45,1070.20,20,18,7.93,7.97,-7.45,
ALGN,491.91,1.75,890800,462.34,442.06,416.41,357.81,320.77,311.59,304.10,401.61,343.30,310.32,11,10,7.02,5.47,-3.03,
PAYC,373.26,-6.08,850500,375.95,374.04,367.29,335.72,313.32,307.13,301.40,375.87,322.21,311.74,20,20,2.08,2.56,8.52,
WHR,198.76,2.24,794400,194.60,194.31,193.57,183.34,168.43,164.37,161.00,196.58,185.49,162.59,10,7,0.0070,0.28,-9.09,
HUBS,336.21,3.11,776100,313.02,309.61,306.96,289.89,262.55,253.82,245.99,310.19,295.64,258.47,13,12,0.03,0.36,2.78,
AVLR,162.26,2.79,739800,153.33,152.03,149.75,139.01,127.50,123.62,119.95,153.10,135.39,128.31,15,12,0.56,0.75,-5.19,
TWST,96.60,7.42,739700,87.33,86.20,85.03,76.24,65.10,61.69,58.65,87.64,75.79,61.79,11,7,-0.0063,0.26,-0.90,
MPWR,356.60,6.18,729100,329.55,323.33,315.73,289.74,264.24,256.08,248.55,318.72,284.45,261.17,20,19,1.48,1.69,-11.15,
BLK,668.19,2.55,714400,636.24,629.73,622.12,596.64,572.18,564.26,556.92,629.96,591.43,573.24,18,16,1.71,2.08,-0.32,
RGEN,201.86,8.02,682400,182.78,178.52,173.97,159.92,146.32,141.91,137.75,174.64,157.68,144.05,13,10,0.84,0.90,-5.01,
MYOK,224.40,-0.07,648000,223.65,221.73,214.44,173.48,140.99,132.74,125.72,222.68,159.38,128.81,20,20,1.83,2.50,0.00,
DECK,278.57,6.71,624400,261.52,258.18,253.38,233.67,215.28,209.96,205.23,256.15,228.32,213.30,20,20,1.01,1.22,-8.55,
GNRC,230.73,3.23,602800,220.17,216.49,212.03,192.92,169.74,162.62,156.16,211.55,195.01,161.66,12,9,0.84,0.89,-4.42,
TYL,409.90,0.97,591900,398.75,395.71,390.26,369.93,355.18,350.21,345.20,395.52,359.77,356.95,20,19,1.45,1.71,2.57,
