"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20",
LRCX,370.53,5.58,1714100,354.66,354.21,352.67,344.35,330.60,325.10,319.56,358.79,344.52,331.98,16,14,0.71,0.95,
TMO,491.50,2.28,1710300,480.46,476.57,469.97,443.21,413.36,403.95,395.30,471.40,441.06,406.14,16,15,1.95,1.87,
EV,61.47,1.72,1693600,60.53,59.81,57.54,49.07,44.70,43.96,43.45,59.98,45.96,42.00,10,7,0.97,0.94,
GOOG,1650.21,1.49,1658000,1608.82,1593.55,1575.21,1538.09,1495.64,1479.77,1464.31,1570.92,1545.95,1503.95,12,10,6.35,4.87,
GOOGL,1645.66,1.31,1541200,1603.65,1588.15,1569.85,1533.70,1492.49,1476.96,1461.81,1565.74,1540.73,1502.22,12,10,6.20,4.78,
EXAS,126.15,3.49,1449300,121.22,117.43,112.50,99.49,93.08,91.93,91.09,111.59,92.83,91.12,12,11,0.85,0.88,
MYOK,223.49,0.09,1108900,223.02,220.64,212.22,169.97,138.16,130.15,123.35,222.33,155.27,127.00,20,20,2.49,3.02,
BNTX,87.22,0.14,1080200,85.80,85.75,84.54,77.47,69.62,66.76,63.96,87.81,73.98,69.51,10,7,0.47,0.63,
ALGN,465.01,1.43,795800,442.16,423.82,400.57,348.85,315.11,306.63,299.70,385.40,337.24,305.80,9,8,6.03,4.57,
GNRC,221.54,4.22,639200,214.37,212.15,208.65,190.55,167.80,160.80,154.46,209.42,193.05,159.67,12,9,0.81,0.88,
SIVB,310.57,1.17,608700,295.45,289.16,281.42,259.93,243.51,239.71,236.82,281.39,258.44,237.15,13,12,1.93,1.73,
ZBRA,319.22,8.92,571700,297.69,294.18,289.36,277.24,266.51,262.86,259.33,291.01,275.30,269.27,14,11,1.54,1.41,
QDEL,257.25,3.56,530300,259.33,258.49,253.69,233.55,211.00,202.18,193.55,262.83,222.13,220.07,20,20,1.11,1.68,
MLM,276.16,1.91,481900,265.76,262.53,258.08,240.14,229.45,227.92,227.02,262.32,233.51,220.61,18,20,0.71,1.04,
MRTX,221.05,2.29,455600,211.41,204.84,196.74,170.34,148.17,142.22,137.08,196.13,165.90,139.48,20,20,1.70,1.63,
DECK,251.59,-1.30,407500,254.10,253.28,249.64,231.17,213.42,208.27,203.68,253.45,226.73,211.25,20,18,1.27,1.41,
MPWR,314.39,-0.28,391200,315.42,313.90,308.85,285.84,261.45,253.55,246.20,314.16,282.08,258.71,20,17,1.81,1.92,
IDXX,444.10,3.03,382300,433.31,428.78,421.22,395.08,366.78,357.83,349.70,421.86,393.10,363.18,17,15,2.43,2.21,
RGEN,178.01,4.63,379100,172.94,171.99,169.37,157.54,144.68,140.43,136.39,171.66,155.95,143.11,13,10,0.95,0.97,
IPGP,194.97,2.27,302900,191.37,190.23,187.15,175.91,166.48,163.73,161.36,188.22,170.80,167.50,11,8,1.17,1.10,
POOL,364.18,1.93,256000,359.30,357.35,352.48,331.29,305.61,297.17,289.35,355.27,330.74,303.37,18,15,1.77,1.73,
DQ,200.14,0.51,250300,192.51,191.71,186.61,154.79,125.94,118.15,111.42,197.53,146.91,113.24,20,20,1.94,2.44,
PCTY,186.19,3.12,235200,185.96,185.85,182.89,165.48,150.97,147.04,143.52,187.46,159.31,147.39,20,18,1.17,1.35,
MKTX,539.69,0.17,230200,546.30,545.13,537.20,511.64,490.56,482.14,473.47,543.06,498.67,503.14,18,16,3.54,3.35,
KOD,94.01,3.26,218300,92.61,89.50,84.06,68.93,61.69,59.87,58.11,83.32,62.81,59.05,12,9,1.65,1.45,
TYL,395.26,2.02,188300,391.39,390.79,386.32,367.31,353.39,348.59,343.69,392.43,357.10,356.04,19,17,1.94,2.04,
CSGP,879.94,3.42,183100,843.12,840.76,841.71,826.21,784.38,769.47,755.21,847.83,840.40,775.66,13,13,-1.81,-0.93,
EIDX,73.07,2.44,145800,72.32,72.05,70.12,60.10,54.39,53.17,52.12,73.35,55.26,50.99,13,11,0.62,0.79,
BIO,601.57,1.79,128600,584.53,577.40,567.44,536.43,504.90,493.95,483.44,569.02,529.46,505.30,18,16,2.61,2.47,
MORN,199.31,2.21,120700,191.40,188.00,183.57,171.10,162.71,160.67,158.96,184.45,167.45,159.70,13,10,1.15,1.09,
SAM,1003.80,-3.36,111100,1026.73,1012.10,987.52,895.43,783.40,748.08,716.17,981.02,901.21,756.46,20,20,6.94,5.90,
