"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20","Perf(%)",
MRO,4.27,3.14,48575200,4.14,4.14,4.17,4.57,5.26,5.59,5.94,4.17,4.63,5.31,0,0,-0.0076,-0.01,3.28,
MSFT,216.39,4.82,42254100,208.94,209.68,210.52,209.67,202.70,199.47,196.13,213.20,211.86,205.33,0,0,-0.11,0.02,2.71,
PFE,37.33,3.15,38768000,36.53,36.62,36.70,36.76,36.65,36.65,36.68,36.90,37.01,36.46,0,0,0.01,0.01,-1.02,
INTC,45.70,1.90,34724700,45.70,46.95,48.28,50.54,52.52,53.00,53.37,49.95,50.00,54.00,0,0,-0.28,-0.16,0.28,
OXY,9.81,1.24,22359300,9.58,9.65,9.86,11.40,14.30,15.67,17.17,9.96,11.22,14.11,0,0,-0.06,-0.06,5.81,
HPE,8.82,-5.36,21360800,8.93,9.02,9.14,9.40,9.82,10.04,10.27,9.30,9.42,9.63,0,0,-0.04,-0.03,5.22,
HAL,12.71,-2.16,19075200,12.55,12.52,12.59,13.19,13.60,13.84,14.16,12.58,13.91,13.61,0,0,0.0006,-0.02,1.89,
JPM,100.25,-3.06,18876500,100.28,100.15,99.97,99.36,100.21,100.95,101.75,100.61,99.51,98.72,0,0,0.06,0.08,3.34,
LUMN,8.80,-3.40,17448500,8.95,9.11,9.34,9.90,10.23,10.36,10.50,9.45,10.26,10.16,0,0,-0.06,-0.05,7.84,
MS,51.43,0.49,17376400,50.07,49.96,49.89,49.68,48.70,48.36,48.06,50.20,50.28,49.13,0,0,0.06,0.05,1.94,
PYPL,194.29,8.05,16092000,191.08,193.44,194.85,191.68,179.07,174.06,169.26,198.29,194.86,182.52,0,0,0.10,0.23,3.94,
HBAN,10.08,-9.11,15935500,10.39,10.26,10.09,9.75,9.78,9.90,10.05,10.04,9.68,9.50,0,0,0.04,0.03,3.67,
HST,10.99,-3.43,15840500,10.96,10.97,11.01,11.13,11.51,11.74,12.00,11.07,11.15,11.34,0,0,-0.02,-0.01,1.46,
GM,35.24,-0.31,14706500,35.00,34.75,34.12,31.68,30.10,29.93,29.91,34.22,31.41,28.94,0,0,0.25,0.22,0.94,
KMI,11.83,-1.33,14328700,12.02,12.17,12.34,13.00,13.93,14.28,14.62,12.49,13.04,14.10,0,0,-0.02,-0.02,2.28,
MRK,80.62,4.81,14053800,77.86,78.05,78.70,80.45,80.78,80.86,80.92,78.69,82.18,80.46,0,0,-0.22,-0.20,1.95,
MU,51.96,1.72,13515100,51.17,51.23,51.03,49.76,49.11,48.96,48.81,51.59,48.52,49.07,0,0,0.16,0.16,3.83,
NCLH,16.16,-2.36,13477300,16.35,16.48,16.62,16.66,18.25,19.43,20.76,16.83,16.71,16.54,0,0,-0.04,-0.02,5.01,
KO,49.17,-0.36,12928400,49.01,49.19,49.37,49.15,48.87,48.92,49.02,49.73,49.42,47.96,0,0,-0.03,-0.01,1.77,
MO,38.08,1.85,12800900,37.42,37.73,38.23,39.69,40.47,40.76,41.09,38.57,40.66,40.53,0,0,-0.13,-0.11,0.34,
QCOM,128.97,2.81,12285400,126.07,125.88,125.04,117.95,108.46,105.63,103.10,126.66,119.14,105.11,0,0,0.33,0.40,13.22,
LLY,148.59,13.44,12209800,137.24,138.16,140.31,146.16,147.77,147.26,146.41,142.36,147.03,152.18,0,0,-0.78,-0.58,-0.56,
NEE,73.32,-3.55,12126400,74.57,74.63,74.35,72.04,69.10,68.15,67.25,75.12,71.99,68.20,0,0,0.12,0.15,3.23,
ORCL,56.49,-0.55,12051800,56.82,57.41,58.02,57.98,56.77,56.40,56.08,58.84,58.17,56.43,0,0,-0.16,-0.09,1.35,
