"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20","Perf(%)",
AAPL,114.95,4.08,137809900,112.66,113.53,114.35,112.61,104.69,101.66,98.74,116.04,116.67,104.12,0,0,-0.12,-0.03,2.74,
GE,7.85,0.00,126846800,7.60,7.46,7.27,6.89,7.04,7.17,7.32,7.26,6.66,6.77,0,0,0.06,0.05,2.29,
BAC,23.68,-4.09,88683900,24.02,24.09,24.20,24.56,24.96,25.17,25.40,24.32,24.90,24.76,0,0,-0.03,-0.03,3.55,
F,7.64,-3.05,67176300,7.78,7.76,7.67,7.26,7.01,7.00,7.03,7.75,7.19,6.79,0,0,0.05,0.04,2.49,
AMD,81.35,6.23,66464700,78.26,78.90,79.71,78.38,72.07,69.69,67.37,80.86,81.50,70.48,0,0,-0.27,-0.15,1.14,
AAL,11.01,-2.13,45147400,11.32,11.59,11.88,12.43,13.38,13.95,14.61,12.11,12.66,12.80,0,0,-0.06,-0.05,3.36,
FB,287.38,8.32,35321600,273.57,272.74,271.38,264.89,251.75,246.99,242.54,272.06,269.79,253.31,0,0,0.63,0.52,1.91,
CSCO,36.57,-0.30,30112600,36.62,37.11,37.73,39.89,41.59,42.05,42.47,38.30,39.91,43.12,0,0,-0.13,-0.10,1.75,
CCL,13.34,-2.70,27557800,13.58,13.79,14.10,14.97,16.86,17.98,19.25,14.19,15.26,15.79,0,0,-0.08,-0.07,4.72,
C,42.08,-3.33,25939900,42.40,42.61,43.06,45.57,48.42,49.51,50.60,43.18,46.44,48.89,0,0,-0.11,-0.12,2.88,
ABBV,94.50,7.44,25845000,87.62,86.47,86.24,88.42,89.29,89.12,88.84,85.62,89.30,92.35,0,0,-0.19,-0.19,-0.58,
BMY,65.43,6.84,24691000,61.04,60.53,60.31,60.17,59.96,59.80,59.59,60.50,60.54,59.95,0,0,-0.03,-0.01,-0.99,
CMCSA,43.70,2.53,23062600,42.98,43.35,43.82,44.00,43.13,42.90,42.72,44.17,44.60,42.70,0,0,-0.12,-0.09,1.83,
FCX,18.00,-4.10,21792400,17.94,17.74,17.45,16.10,14.50,14.06,13.70,17.50,16.16,13.92,0,0,0.08,0.08,5.11,
APA,8.99,2.98,19228000,8.71,8.81,9.12,10.81,12.37,12.97,13.62,9.04,11.56,12.67,0,0,-0.08,-0.09,5.56,
EBAY,47.82,-2.25,16556500,49.49,50.60,51.49,52.44,50.70,49.80,48.90,52.86,53.36,52.52,0,0,-0.07,-0.02,3.20,
DVN,9.81,1.76,16187300,9.28,9.19,9.22,9.77,10.88,11.43,12.05,9.22,9.85,10.79,0,0,-0.05,-0.04,3.57,
FOXA,25.63,-5.21,15753100,26.40,26.54,26.77,27.05,27.42,27.69,28.01,26.94,27.19,27.19,0,0,-0.11,-0.08,3.55,
COP,30.38,3.65,15178400,30.00,30.57,31.40,34.21,37.22,38.33,39.47,32.11,34.70,38.31,0,0,-0.23,-0.18,0.92,
BSX,35.29,0.40,14830800,35.18,35.78,36.61,37.92,38.02,38.06,38.12,37.44,38.89,37.83,0,0,-0.24,-0.17,0.37,
BIIB,355.63,43.97,14586000,277.79,272.24,271.78,275.94,280.53,281.54,282.21,272.41,276.87,280.39,0,0,-1.42,-0.99,-7.35,
GILD,59.87,1.77,12928900,59.28,59.76,60.56,63.93,66.93,67.52,67.94,61.03,63.77,69.16,0,0,-0.23,-0.19,-0.18,
DAL,30.43,-1.52,12324200,30.78,31.04,31.24,30.79,31.31,32.06,32.97,31.62,31.00,29.25,0,0,-0.02,-0.0012,3.45,
BA,151.63,-1.31,11314700,152.32,154.83,157.53,163.44,174.21,180.54,187.65,160.25,164.55,169.36,0,0,-0.51,-0.33,2.80,
CVS,60.37,1.55,11185400,58.64,58.56,58.64,59.80,61.22,61.61,61.93,58.88,59.93,62.27,0,0,-0.03,-0.02,3.50,
CVX,71.77,0.04,10921400,71.00,71.11,71.73,76.30,81.69,83.57,85.42,71.88,77.26,83.80,0,0,-0.18,-0.20,1.03,
AMAT,64.86,4.90,9799600,61.46,61.17,61.05,60.79,59.87,59.42,58.94,61.81,61.00,60.71,0,0,-0.04,0.02,3.76,
CAT,155.23,-7.43,9067300,160.18,160.58,159.91,152.33,144.13,142.12,140.53,162.50,151.69,140.34,0,0,0.47,0.55,4.36,
CNC,63.99,-1.01,9042200,63.06,63.27,63.16,62.42,62.33,62.19,62.00,64.43,61.38,63.07,0,0,0.12,0.17,4.91,
CARR,36.78,-0.46,9038600,35.23,34.54,33.78,31.16,27.66,26.47,25.38,33.61,31.30,27.49,0,0,0.16,0.14,2.45,
ATVI,79.37,4.08,8631800,78.09,78.63,79.15,79.61,77.20,75.97,74.70,79.59,80.61,78.75,0,0,-0.04,-0.03,1.83,
EXC,42.22,-0.59,8022000,41.42,41.15,40.60,38.93,38.73,38.92,39.19,41.15,38.05,38.02,0,0,0.22,0.22,1.92,
BKR,15.66,-1.39,7658400,15.09,14.68,14.35,14.38,15.00,15.31,15.66,14.00,14.39,15.19,0,0,0.07,0.04,1.28,
COG,16.01,-4.70,7653800,17.45,17.94,18.25,18.57,18.57,18.56,18.57,18.72,18.73,18.78,0,0,0.01,0.02,4.12,
BK,34.70,-3.58,7630300,35.26,35.56,35.76,36.06,36.77,37.15,37.58,36.42,36.02,36.77,0,0,-0.0011,0.02,2.02,
