"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20","Perf(%)",
STT,60.42,-3.14,1920700,60.91,61.56,62.18,63.34,63.73,63.85,63.97,63.60,64.48,64.07,0,0,-0.06,-0.01,3.03,
TEL,101.35,-0.42,1843500,100.59,101.28,101.68,98.61,93.75,92.56,91.64,103.78,99.42,91.73,0,0,-0.03,0.10,3.29,
VFC,69.58,-1.65,1817900,70.04,70.91,71.64,70.06,68.40,68.49,68.82,73.30,70.14,65.50,0,0,-0.20,-0.06,2.01,
WLTW,184.25,2.07,1759400,187.46,192.76,197.62,202.56,201.36,200.63,199.84,202.97,204.19,202.69,0,0,-0.80,-0.46,2.70,
XRAY,48.11,0.71,1709500,47.26,46.88,46.42,45.36,45.21,45.39,45.63,46.36,44.99,44.78,0,0,0.12,0.10,-4.03,
RSG,93.87,1.59,1664900,91.06,91.03,91.44,91.29,89.53,89.05,88.63,91.73,92.63,88.39,0,0,-0.20,-0.15,1.62,
SPGI,351.10,4.88,1603700,335.89,336.58,339.65,344.89,336.08,331.40,326.49,341.12,351.29,343.27,0,0,-1.44,-1.10,2.01,
UHS,112.28,-5.02,1525400,112.52,112.02,111.59,110.06,109.64,110.25,111.09,111.75,111.20,106.24,0,0,0.11,0.09,5.30,
TSCO,135.83,-0.12,1508500,135.68,137.53,139.60,141.01,134.68,131.92,129.27,143.04,144.21,137.88,0,0,-0.48,-0.25,2.86,
WEC,101.81,-2.34,1483200,102.06,101.60,100.83,97.76,95.50,94.96,94.44,100.96,96.99,93.72,0,0,0.21,0.21,1.84,
TT,137.28,-2.82,1442800,134.84,132.83,130.77,123.13,116.33,115.09,114.26,130.78,123.67,110.08,0,0,0.28,0.32,3.73,
TXT,38.06,-3.50,1440800,36.72,36.14,35.97,36.07,35.86,36.03,36.34,35.72,37.06,35.26,0,0,-0.08,-0.08,1.73,
SWK,175.60,1.13,1356500,171.25,171.19,170.78,164.60,156.13,153.96,152.21,173.38,165.22,153.27,0,0,0.11,0.27,2.37,
TTWO,163.72,3.05,1301300,160.81,161.77,162.64,162.02,155.36,152.70,150.16,163.85,165.32,156.12,0,0,-0.06,-0.01,2.41,
TROW,135.81,2.77,1257900,134.54,136.39,137.20,135.01,131.01,129.67,128.43,140.99,135.03,131.21,0,0,0.23,0.36,2.16,
VRSK,196.39,4.49,1202200,186.95,186.41,186.26,184.25,178.72,176.60,174.53,187.74,185.70,179.23,0,0,0.0093,0.08,1.12,
SYK,207.73,-0.25,1140000,208.08,210.34,211.70,206.95,201.12,199.96,199.12,216.18,205.68,197.63,0,0,-0.10,0.18,1.56,
STZ,180.85,-2.16,1130400,176.57,176.60,177.99,180.49,179.39,179.18,179.18,178.81,182.80,180.06,0,0,-0.65,-0.52,1.42,
WRB,62.36,-1.86,1099400,62.29,62.39,62.43,62.03,61.54,61.56,61.64,62.75,62.23,60.88,0,0,0.03,0.04,2.50,
ROL,61.33,3.21,1061600,59.65,59.36,58.76,55.71,51.64,50.35,49.19,59.18,56.09,50.58,0,0,0.21,0.21,3.23,
XYL,86.78,-5.27,1044000,88.64,88.87,88.64,84.76,80.54,79.63,78.94,89.90,85.00,77.07,0,0,0.13,0.20,3.93,
ZBH,136.80,0.29,1024100,136.01,137.31,138.55,138.00,134.98,134.24,133.66,141.17,139.51,133.72,0,0,-0.26,-0.10,1.99,
SNPS,233.31,5.22,1006700,222.98,222.39,221.36,213.44,200.39,195.68,191.14,223.80,214.00,201.83,0,0,0.29,0.44,2.70,
SRE,128.43,-0.52,929800,128.25,128.15,127.37,125.14,125.55,126.11,126.69,128.41,124.32,124.24,0,0,0.40,0.38,0.83,
SEE,41.50,-0.07,906300,40.93,40.91,40.82,39.68,37.89,37.49,37.23,41.26,40.29,37.14,0,0,-0.0009,0.03,3.01,
VAR,173.38,0.30,760600,172.77,172.58,172.39,167.27,156.32,153.06,150.27,172.24,172.61,150.91,0,0,0.03,0.02,0.28,
SJM,114.58,-2.05,759700,114.70,114.78,114.97,114.29,112.97,112.60,112.29,115.88,115.08,111.77,0,0,-0.14,-0.05,2.95,
VRSN,203.39,6.20,741000,195.93,197.47,199.58,203.33,203.96,203.69,203.25,202.42,204.42,206.65,0,0,-0.54,-0.34,2.35,
ROP,388.75,1.41,733600,387.01,393.15,398.77,405.56,399.15,395.74,392.31,407.79,412.15,406.83,3,0,-0.47,-0.12,0.04,
ULTA,217.32,-0.10,708900,215.21,218.22,221.65,223.51,223.38,224.60,226.30,226.69,226.72,220.29,0,0,-0.74,-0.40,0.47,
WAT,213.07,-1.87,655500,218.84,218.08,215.46,209.50,206.62,206.28,206.18,215.56,209.05,204.23,0,0,1.24,0.99,2.63,
WHR,194.40,-1.70,579000,193.21,193.50,193.02,182.82,167.92,163.89,160.56,196.65,185.15,161.92,0,0,0.11,0.37,3.21,
SBAC,302.02,3.78,545100,296.86,298.87,301.71,304.98,300.47,297.72,294.61,303.52,307.17,303.74,0,0,-0.93,-0.66,0.64,
SHW,723.99,1.96,470200,702.12,696.07,692.83,677.86,647.00,636.70,627.13,690.08,687.74,641.91,0,0,-0.43,-0.35,1.68,
SNA,157.63,-3.84,465900,160.04,159.59,158.28,152.62,148.03,147.29,146.91,159.20,152.48,145.68,0,0,0.46,0.47,2.52,
WST,289.79,4.61,447000,280.26,281.01,281.75,274.67,254.50,246.76,239.32,285.65,278.83,255.36,0,0,-0.36,-0.04,1.54,
ZBRA,329.18,3.12,423400,305.56,299.56,293.15,278.94,267.55,263.78,260.15,293.64,276.11,270.20,11,5,1.49,1.39,3.83,
SIVB,296.56,-4.51,406100,295.73,290.30,282.86,261.13,244.39,240.49,237.53,282.89,259.17,238.19,13,9,1.90,1.72,2.80,
STE,177.62,0.70,404700,179.51,180.89,181.00,173.85,166.48,164.47,162.68,184.62,171.41,164.02,0,0,0.16,0.38,1.09,
TFX,328.75,-1.04,375900,332.69,338.57,343.74,354.19,356.31,355.75,354.78,351.31,359.57,363.47,0,0,-0.30,-0.14,4.26,
TYL,405.98,2.71,280100,395.04,393.13,388.19,368.58,354.26,349.38,344.43,393.95,358.42,356.47,18,15,1.68,1.87,4.47,
TDG,512.05,0.69,256200,494.13,490.15,488.60,482.49,472.23,470.91,470.33,486.61,491.80,465.19,0,0,-0.19,-0.24,0.94,
TDY,331.82,1.48,162200,322.00,322.09,322.10,320.76,321.49,321.62,321.36,325.08,319.86,323.64,0,0,0.25,0.34,2.84,
