"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20","Perf(%)",
WFC,21.88,-0.95,47186600,21.93,22.20,22.61,23.79,25.97,27.03,28.15,22.94,23.83,25.06,0,0,-0.14,-0.10,2.10,
T,27.04,-1.53,45460700,27.16,27.24,27.45,28.37,29.43,29.82,30.18,27.40,28.61,29.46,0,0,-0.08,-0.07,2.33,
XOM,33.23,-0.54,35387400,33.26,33.37,33.70,36.35,40.07,41.54,43.04,33.74,36.61,40.93,0,0,-0.07,-0.09,1.56,
TWTR,42.76,2.47,34689600,44.23,45.35,45.70,43.23,39.98,39.14,38.48,46.73,43.07,38.66,0,0,0.12,0.16,0.61,
VZ,57.22,-0.92,20780600,57.35,57.48,57.79,58.25,57.96,57.89,57.83,57.83,58.98,57.52,0,0,-0.13,-0.11,2.67,
SLB,15.97,1.33,17687900,15.42,15.37,15.53,16.71,18.29,19.04,19.89,15.46,17.20,18.11,0,0,-0.07,-0.07,0.25,
SCHW,40.84,-4.04,15043600,40.74,40.17,39.44,37.50,37.03,37.15,37.35,39.34,36.83,36.03,0,0,0.17,0.16,1.64,
UAL,33.34,-2.00,14782200,33.97,34.37,34.74,35.13,37.26,38.89,40.76,35.14,35.49,34.62,0,0,-0.07,-0.04,4.14,
SBUX,89.79,1.58,10507300,88.37,88.40,88.21,85.53,82.82,82.30,81.91,88.90,85.61,80.91,0,0,0.05,0.10,1.17,
UNH,354.56,10.33,10343000,324.95,322.44,320.72,314.52,306.36,303.36,300.44,323.16,314.70,307.33,0,0,0.11,0.32,1.26,
VIAC,29.77,-1.19,8868900,29.21,28.92,28.74,27.95,27.05,27.14,27.44,28.49,28.44,26.09,0,0,-0.0023,-0.0098,3.83,
RTX,56.82,-0.39,8658400,56.48,57.20,57.98,59.65,62.15,63.32,64.51,58.91,60.03,61.42,0,0,-0.11,-0.07,1.87,
WBA,36.30,-2.86,8559700,36.00,36.09,36.22,37.28,39.44,40.33,41.24,36.48,37.07,39.40,0,0,-0.0095,-0.0026,2.56,
XLNX,128.26,6.16,8510400,121.58,119.67,117.11,109.73,104.22,102.91,101.89,117.89,107.77,102.61,0,0,0.65,0.63,0.96,
V,193.97,2.99,8098900,189.12,190.74,193.25,197.19,195.41,194.34,193.17,195.45,200.73,197.61,0,0,-0.74,-0.53,2.85,
USB,39.00,-4.46,7490400,39.33,39.18,38.89,37.96,38.33,38.83,39.43,39.19,37.53,37.25,0,0,0.09,0.09,2.62,
SYF,26.52,-0.53,6709700,26.29,26.56,26.80,26.16,25.41,25.44,25.57,27.49,26.28,24.46,0,0,-0.07,-0.01,3.66,
WMB,19.09,0.58,6642500,19.11,19.22,19.37,19.80,19.86,19.92,20.04,19.40,20.29,19.98,0,0,-0.02,-0.03,1.57,
UAA,14.40,-2.51,6009100,14.19,13.94,13.53,12.24,11.88,12.04,12.29,13.54,11.78,10.84,0,0,0.12,0.11,2.50,
WMT,141.96,-0.57,5970900,141.51,141.74,141.70,138.70,134.00,132.47,131.01,142.77,139.15,132.26,0,0,0.05,0.12,1.20,
TJX,53.25,-1.37,5937200,53.08,53.65,54.31,54.72,54.31,54.26,54.23,55.17,55.27,54.11,0,0,-0.19,-0.11,2.08,
WU,20.22,-1.84,5685900,20.52,20.81,21.13,21.82,22.05,22.11,22.15,21.39,22.29,22.13,0,0,-0.06,-0.05,4.35,
TAP,37.29,-3.59,5643400,36.36,35.84,35.51,35.72,37.40,38.23,39.13,35.45,35.77,36.49,0,0,0.0053,0.0039,3.08,
TPR,23.84,-0.91,5371800,22.92,22.13,21.10,18.33,17.43,17.57,17.86,20.92,17.53,15.75,0,0,0.27,0.23,2.77,
TFC,42.68,-4.65,5209300,42.94,42.66,42.17,40.43,39.96,40.17,40.50,42.60,39.90,38.85,0,0,0.11,0.13,3.26,
TMUS,116.02,4.41,5024400,112.19,112.30,112.72,112.18,107.97,106.18,104.40,113.73,113.98,109.25,0,0,-0.21,-0.12,1.72,
TXN,152.03,3.21,5015300,147.80,147.65,147.28,142.82,136.69,134.89,133.31,149.22,143.32,135.16,0,0,0.07,0.20,1.74,
VLO,38.97,-1.29,4642500,39.09,39.48,40.38,45.28,51.00,53.01,54.96,40.41,46.19,53.27,0,0,-0.25,-0.26,2.26,
SPG,62.28,-4.17,4420700,63.60,64.01,64.61,65.90,70.30,73.27,76.68,64.94,66.53,66.35,0,0,-0.23,-0.17,2.28,
WYNN,76.12,2.08,4408400,74.18,73.74,73.74,76.14,80.09,81.92,83.86,73.09,78.02,79.91,0,0,-0.04,-0.10,3.02,
UNP,186.74,0.73,4391900,183.44,185.92,189.28,190.66,184.64,182.70,181.00,193.59,194.72,183.49,0,0,-0.98,-0.60,2.81,
WDC,37.51,0.08,4177300,38.16,38.59,38.70,38.84,40.64,41.46,42.27,39.16,37.55,40.40,0,0,0.12,0.11,3.47,
ZION,30.94,-10.21,4176300,32.21,31.96,31.67,31.66,32.63,33.17,33.75,31.57,31.58,32.64,0,0,0.06,0.05,3.56,
SO,59.76,-0.17,4100000,59.24,59.04,58.51,56.48,56.08,56.18,56.30,58.97,55.27,55.04,0,0,0.16,0.18,2.33,
VRTX,215.09,1.87,3777900,211.70,215.68,224.03,247.35,254.84,254.34,252.90,226.94,254.43,268.47,0,0,-3.42,-2.77,1.92,
UPS,162.58,-0.55,3526400,162.84,164.68,166.09,159.86,146.11,142.09,138.67,169.35,164.55,139.77,0,0,-0.27,-0.02,0.25,
UDR,34.23,-0.98,3472100,32.82,32.65,32.81,33.86,35.46,36.09,36.70,32.98,33.83,35.52,0,0,-0.16,-0.12,0.47,
STX,50.47,0.24,3435500,49.47,49.59,49.67,49.00,49.04,49.19,49.36,50.35,48.26,48.75,0,0,-0.02,0.03,3.01,
ZTS,174.35,6.87,3403700,164.81,163.63,162.97,159.30,152.39,150.01,147.75,163.06,161.08,151.07,0,0,-0.08,-0.02,0.38,
XRX,18.25,-2.35,3286600,18.30,18.53,18.76,18.67,19.25,19.76,20.33,19.18,18.85,17.72,0,0,-0.05,-0.02,4.44,
VMC,136.36,-9.19,3240500,143.64,143.80,143.04,136.23,130.47,129.42,128.71,145.54,134.53,126.39,0,0,0.13,0.32,-0.04,
WY,28.48,0.32,3221400,28.28,28.44,28.60,28.21,27.04,26.75,26.55,28.96,28.88,26.30,0,0,-0.04,-0.01,2.11,
UA,12.77,-1.84,3192300,12.50,12.24,11.87,10.77,10.52,10.68,10.91,11.84,10.38,9.63,0,0,0.10,0.09,2.43,
SYY,60.74,0.81,3185900,59.10,59.94,61.02,61.16,60.40,60.59,60.93,62.65,61.99,58.54,0,0,-0.31,-0.18,1.32,
UNM,18.09,-7.04,3184800,18.34,18.37,18.36,18.15,18.36,18.68,19.09,18.59,18.30,17.60,0,0,0.01,0.02,4.04,
TGT,156.62,-0.07,3156600,156.21,157.21,157.75,151.52,141.22,138.05,135.15,160.33,153.50,137.47,0,0,-0.11,0.10,1.71,
SWKS,139.53,0.53,3012700,142.05,143.99,145.29,143.13,135.75,132.88,130.12,148.43,144.25,137.32,0,0,-0.19,0.02,4.49,
VTR,41.67,-3.05,2917800,41.25,41.36,41.70,41.58,41.26,41.66,42.26,42.09,42.40,39.84,0,0,-0.17,-0.11,0.74,
URI,179.19,-11.05,2759500,185.02,184.82,184.70,178.62,167.42,163.97,160.94,187.45,180.80,166.35,0,0,-0.35,-0.04,5.94,
TSN,56.54,0.09,2727500,57.18,57.61,58.14,59.80,61.61,62.44,63.27,58.31,60.76,61.06,0,0,-0.08,-0.09,2.58,
TER,95.85,6.70,2561400,90.61,89.49,88.04,84.74,80.95,79.44,77.93,88.38,84.33,82.31,0,0,0.44,0.40,2.58,
TRV,123.40,-2.33,2423500,123.05,121.72,119.81,116.18,115.42,115.79,116.38,119.24,115.09,114.46,0,0,0.60,0.47,2.27,
VNO,31.64,-7.02,2420300,32.19,32.44,32.90,34.41,37.02,38.27,39.59,33.20,34.56,36.15,0,0,-0.17,-0.13,2.12,
TMO,510.97,3.96,2300100,488.08,481.86,473.87,445.43,414.98,405.43,396.67,474.33,442.79,407.54,15,13,1.92,1.86,1.48,
XEL,72.72,-0.36,2283700,71.90,71.74,71.53,70.20,68.48,67.94,67.43,71.98,70.32,67.80,0,0,0.02,0.06,2.48,
WAB,61.71,-5.96,2202000,61.53,61.46,61.85,63.01,63.11,63.29,63.59,62.07,64.58,63.07,0,0,-0.19,-0.16,3.10,
WRK,38.51,-3.14,2176700,38.68,38.65,38.30,35.61,33.76,33.54,33.48,38.97,34.88,31.75,0,0,0.15,0.18,2.21,
WELL,56.99,-3.42,2150800,56.14,55.66,55.49,55.47,56.21,56.99,57.92,55.09,56.37,54.49,0,0,-0.07,-0.07,0.51,
YUM,98.58,1.87,2024400,96.75,96.75,96.46,94.67,93.24,93.14,93.19,97.16,94.84,92.52,0,0,0.20,0.20,2.11,
WM,116.05,1.17,1989200,112.57,112.55,112.87,112.38,110.81,110.47,110.22,113.53,113.25,109.64,0,0,-0.14,-0.08,1.65,
TIF,130.97,-0.02,1988900,129.64,127.80,125.56,122.45,122.45,122.36,122.13,124.36,121.24,122.02,0,0,0.59,0.45,0.17,
ROST,92.20,0.61,1980200,90.16,90.69,91.49,92.01,92.59,93.10,93.64,92.85,92.52,91.63,0,0,-0.31,-0.17,1.72,
SLG,45.03,-5.85,1962200,45.07,45.33,45.90,47.24,49.96,51.46,53.09,46.54,47.38,47.84,0,0,-0.27,-0.18,2.73,
