"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20",
JCI,44.42,1.55,7864100,43.49,43.27,43.02,41.57,39.66,39.22,38.91,43.06,41.97,38.72,0,0,0.04,0.05,
HD,269.97,-5.02,7849400,277.50,277.80,278.36,275.94,266.07,262.34,258.78,280.05,279.76,267.75,0,0,-0.44,-0.23,
IPG,21.09,11.06,7772500,19.50,19.15,18.82,18.23,18.15,18.23,18.35,18.70,18.01,17.92,0,0,0.06,0.06,
HON,196.99,6.90,7733100,182.67,178.75,175.71,168.32,162.62,161.59,160.90,174.32,168.32,158.86,0,0,0.18,0.21,
IVZ,14.84,6.92,7713600,14.10,13.92,13.64,12.43,11.88,11.93,12.07,13.90,11.98,11.10,0,0,0.05,0.07,
NKE,128.95,0.04,7489200,127.36,126.92,126.54,120.74,112.84,110.60,108.63,127.12,121.14,110.11,0,0,-0.12,0.02,
GS,214.93,6.79,6954400,202.52,201.05,200.91,201.47,201.20,201.27,201.44,201.73,201.87,203.09,0,0,-0.55,-0.33,
GLW,35.68,2.79,6854600,34.28,34.03,33.89,32.77,30.90,30.40,30.03,34.12,33.11,30.37,0,0,-0.04,-0.0024,
LNC,42.63,25.12,6787600,37.05,36.27,35.63,35.20,36.42,37.19,38.08,35.26,34.75,36.53,0,0,0.09,0.08,
PPL,28.75,4.13,6559900,28.17,28.15,28.13,27.83,27.77,27.87,28.01,28.20,27.90,27.33,0,0,-0.01,0.0020,
HFC,22.56,28.40,6552600,19.50,19.34,19.48,21.42,24.55,25.78,27.03,19.38,21.39,25.33,0,0,-0.10,-0.10,
O,61.60,6.23,6545400,59.29,59.32,59.69,60.60,61.03,61.38,61.77,59.49,61.51,60.52,0,0,-0.19,-0.16,
PRU,73.45,15.58,6426700,66.86,66.26,66.04,65.92,66.30,66.91,67.73,65.90,66.67,65.17,0,0,-0.08,-0.05,
OMC,55.49,14.74,6214800,50.39,50.06,50.22,51.54,53.84,54.89,55.99,50.40,51.72,53.37,0,0,-0.19,-0.14,
PEP,138.45,0.05,6109000,137.60,137.55,137.67,137.18,136.13,135.81,135.48,138.55,137.42,135.50,0,0,-0.16,-0.07,
PLD,99.61,-5.03,5949600,102.76,102.67,102.63,101.64,98.94,97.91,96.89,102.70,102.08,99.31,0,0,-0.15,-0.08,
HOLX,68.35,-8.93,5826000,71.89,71.15,70.03,66.53,62.54,61.26,60.12,69.35,65.87,62.21,0,0,0.24,0.21,
