"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20","Perf(%)",
AAPL,118.69,-0.29,114457900,115.36,115.04,115.17,113.01,105.15,102.13,99.21,116.32,116.83,104.79,0,0,-0.22,-0.11,-2.00,
GE,8.09,1.25,84125500,7.79,7.63,7.41,6.96,7.07,7.19,7.34,7.39,6.71,6.80,0,0,0.06,0.05,7.79,
BAC,24.31,-1.22,55454500,24.20,24.19,24.25,24.56,24.94,25.15,25.38,24.24,24.83,24.80,0,0,-0.03,-0.03,14.19,
AMD,85.88,3.47,53829900,81.05,80.51,80.58,78.77,72.48,70.09,67.77,80.83,81.57,70.97,0,0,-0.28,-0.18,-3.21,
F,7.79,-2.50,50912100,7.82,7.80,7.71,7.30,7.04,7.02,7.05,7.81,7.21,6.83,0,0,0.04,0.04,5.26,
AAL,11.46,-1.21,36703700,11.41,11.57,11.82,12.38,13.32,13.89,14.54,11.95,12.59,12.83,0,0,-0.07,-0.06,15.18,
CVS,64.95,5.76,24526900,60.73,59.91,59.48,60.02,61.29,61.66,61.96,59.20,59.88,62.26,0,0,-0.02,-0.02,3.97,
CCL,13.82,-2.54,19585600,13.75,13.84,14.08,14.91,16.77,17.87,19.13,14.02,15.22,15.79,0,0,-0.08,-0.07,39.29,
CSCO,37.53,0.81,19475300,36.96,37.19,37.67,39.72,41.46,41.92,42.35,38.06,39.64,42.99,0,0,-0.16,-0.13,1.79,
C,42.71,-0.84,17705200,42.60,42.69,43.03,45.39,48.24,49.33,50.42,42.98,46.10,48.85,0,0,-0.11,-0.12,11.54,
FCX,19.12,1.59,17437600,18.40,18.10,17.73,16.29,14.65,14.20,13.82,17.69,16.33,14.08,0,0,0.08,0.08,3.50,
CMCSA,44.53,0.41,14129100,43.63,43.66,43.93,44.03,43.17,42.94,42.76,44.11,44.63,42.81,0,0,-0.13,-0.10,5.95,
FB,293.41,-0.43,13891000,282.49,278.78,275.49,266.77,253.14,248.28,243.75,275.05,270.91,254.63,0,0,0.62,0.53,-4.99,
DVN,9.77,-2.79,13372700,9.55,9.39,9.35,9.78,10.85,11.39,12.00,9.19,9.78,10.75,0,0,-0.03,-0.03,15.97,
APA,8.54,-4.79,12204500,8.72,8.79,9.05,10.68,12.25,12.86,13.51,8.93,11.33,12.62,0,0,-0.07,-0.08,14.17,
EA,119.19,-7.12,12151100,123.27,124.21,125.49,128.83,127.46,126.18,124.79,126.72,130.85,131.27,0,0,-0.33,-0.26,-1.86,
DAL,31.42,-1.75,11821100,31.16,31.22,31.32,30.84,31.33,32.05,32.94,31.52,31.10,29.41,0,0,-0.04,-0.02,17.03,
BSX,35.70,1.39,11142400,35.31,35.70,36.40,37.76,37.94,37.99,38.06,36.90,38.75,37.82,0,0,-0.28,-0.21,7.03,
COP,29.19,-3.09,10484500,29.82,30.30,31.08,33.91,36.97,38.10,39.24,31.55,34.32,38.08,0,0,-0.27,-0.21,14.35,
EBAY,50.69,2.59,10244300,49.77,50.46,51.23,52.29,50.67,49.80,48.93,52.49,53.16,52.65,0,0,-0.19,-0.10,-4.68,
BMY,63.80,0.08,9680100,62.24,61.45,60.94,60.40,60.08,59.91,59.69,60.71,60.56,59.96,0,0,-0.01,-0.0035,0.44,
BA,157.74,0.41,8995600,154.57,155.57,157.51,163.05,173.66,179.91,186.94,159.23,163.96,169.77,0,0,-0.64,-0.45,13.71,
EXC,42.84,-0.53,8848200,42.08,41.66,41.02,39.19,38.87,39.04,39.28,41.52,38.21,38.12,0,0,0.17,0.19,1.12,
EOG,34.58,-2.87,8823500,35.09,35.26,35.73,38.99,43.47,45.23,47.08,35.93,39.13,44.86,0,0,-0.15,-0.14,16.57,
AMAT,70.53,0.83,8639700,65.32,63.75,62.72,61.40,60.21,59.72,59.20,62.54,61.15,60.97,0,0,-0.03,0.01,1.09,
CVX,71.15,-1.37,8366900,71.25,71.25,71.71,76.00,81.36,83.24,85.10,71.58,76.64,83.48,0,0,-0.18,-0.19,11.60,
AIG,33.16,-0.81,8329900,32.43,31.97,31.38,30.35,31.08,31.73,32.48,31.30,29.64,30.58,0,0,0.15,0.13,13.15,
FOXA,25.95,-2.48,7824100,26.33,26.46,26.68,27.00,27.38,27.65,27.97,26.63,27.23,27.17,0,0,-0.10,-0.08,1.16,
