"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20",
AAL,13.20,15.18,230551400,11.86,11.82,11.95,12.40,13.31,13.88,14.53,11.96,12.59,12.86,0,0,-0.07,-0.06,
GE,8.72,7.79,192751100,8.03,7.79,7.54,7.02,7.10,7.22,7.35,7.49,6.74,6.82,0,0,0.06,0.05,
CCL,19.25,39.29,184797500,15.13,14.68,14.57,15.05,16.81,17.89,19.13,14.23,15.29,15.83,0,0,-0.06,-0.06,
BAC,27.76,14.19,178231600,25.09,24.74,24.58,24.66,24.99,25.19,25.41,24.34,24.85,24.84,0,0,-0.02,-0.02,
AAPL,116.32,-2.00,154050500,115.60,115.24,115.28,113.12,105.34,102.32,99.41,115.92,116.86,105.09,0,0,-0.23,-0.13,
F,8.20,5.26,110420500,7.92,7.86,7.75,7.33,7.05,7.04,7.06,7.83,7.23,6.85,0,0,0.03,0.03,
AMD,83.12,-3.21,58505700,81.57,80.91,80.82,78.92,72.65,70.27,67.95,80.77,81.60,71.20,0,0,-0.26,-0.18,
DAL,36.77,17.03,57997000,32.56,32.08,31.84,31.04,31.42,32.12,32.99,31.72,31.23,29.53,0,0,-0.03,-0.01,
C,47.64,11.54,56860700,43.86,43.45,43.47,45.47,48.23,49.30,50.38,43.07,46.02,48.87,0,0,-0.09,-0.11,
BA,179.36,13.71,48658000,160.77,159.23,159.59,163.59,173.76,179.90,186.85,159.83,163.98,170.15,0,0,-0.62,-0.46,
CSCO,38.20,1.79,42630900,37.27,37.34,37.72,39.67,41.40,41.87,42.30,37.95,39.57,42.93,0,0,-0.17,-0.13,
FCX,19.79,3.50,40981100,18.75,18.36,17.92,16.40,14.74,14.27,13.89,17.84,16.43,14.17,0,0,0.09,0.08,
CMCSA,47.18,5.95,37453100,44.51,44.20,44.24,44.13,43.24,43.00,42.81,44.17,44.69,42.87,0,0,-0.13,-0.10,
DIS,142.59,11.87,35607300,129.36,127.33,126.36,125.54,124.02,123.80,123.74,125.82,127.60,123.32,0,0,-0.07,-0.08,
APA,9.75,14.17,26845700,8.98,8.94,9.12,10.65,12.21,12.81,13.46,8.95,11.23,12.60,0,0,-0.06,-0.08,
FB,278.77,-4.99,25059700,281.56,278.78,275.80,267.16,253.56,248.70,244.16,275.21,271.20,255.03,0,0,0.63,0.55,
CVX,79.40,11.60,23996800,73.29,72.51,72.44,76.12,81.33,83.19,85.03,71.83,76.46,83.37,0,0,-0.15,-0.17,
BSX,38.21,7.03,21384700,36.04,36.08,36.57,37.77,37.94,38.00,38.06,36.72,38.73,37.83,0,0,-0.27,-0.21,
EBAY,48.32,-4.68,19384900,49.41,50.13,50.95,52.16,50.64,49.78,48.92,52.14,53.03,52.69,0,0,-0.23,-0.14,
EXPE,128.64,24.57,19305700,106.77,102.78,99.92,95.02,91.96,91.85,92.17,97.58,95.77,90.02,0,0,0.29,0.21,
DVN,11.33,15.97,17779400,9.99,9.69,9.54,9.83,10.85,11.39,11.99,9.27,9.76,10.74,0,0,-0.02,-0.02,
COP,33.38,14.35,17611600,30.71,30.77,31.30,33.90,36.91,38.03,39.17,31.44,34.20,37.99,0,0,-0.27,-0.22,
AXP,117.37,21.39,17247900,101.48,99.94,99.78,100.01,100.14,100.59,101.16,99.80,100.88,99.42,0,0,-0.46,-0.32,
CVS,67.53,3.97,15691600,62.43,61.08,60.25,60.27,61.39,61.74,62.02,59.59,59.91,62.30,0,0,0.01,0.0033,
BMY,64.08,0.44,15532200,62.70,61.86,61.24,60.52,60.15,59.96,59.74,60.82,60.57,59.98,0,0,0.0083,0.0090,
BKR,17.67,13.49,14116800,15.91,15.37,14.88,14.57,15.07,15.36,15.69,14.46,14.34,15.22,0,0,0.11,0.07,
ABT,109.39,-4.40,13987100,110.55,109.76,109.00,106.02,101.64,100.17,98.81,108.64,106.59,100.56,0,0,0.05,0.07,
FITB,26.56,14.43,13913600,24.30,23.95,23.59,22.32,21.71,21.74,21.86,23.59,22.02,21.02,0,0,0.05,0.07,
