"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20",
WFC,24.22,10.54,101981100,22.56,22.49,22.68,23.70,25.82,26.86,27.96,22.55,23.71,25.01,0,0,-0.13,-0.11,
XOM,36.93,12.66,76831200,34.07,33.82,33.89,36.15,39.79,41.24,42.73,33.65,36.15,40.67,0,0,-0.07,-0.08,
T,28.30,3.13,70660500,27.55,27.46,27.53,28.31,29.35,29.74,30.10,27.31,28.50,29.42,0,0,-0.05,-0.06,
UAL,41.32,19.15,60837900,36.14,35.58,35.41,35.32,37.26,38.82,40.64,35.18,35.54,34.95,0,0,-0.06,-0.05,
SLB,18.25,19.91,31828600,16.10,15.81,15.76,16.68,18.19,18.93,19.77,15.47,17.01,18.07,0,0,-0.04,-0.06,
SPG,79.10,27.87,24911200,67.13,65.99,65.67,66.13,70.20,73.06,76.38,64.87,66.57,66.64,0,0,-0.18,-0.16,
VZ,59.84,2.24,24261000,58.31,58.05,58.08,58.31,58.00,57.93,57.86,57.75,58.99,57.63,0,0,-0.10,-0.09,
TWTR,43.19,0.16,21224400,43.69,44.54,45.08,43.24,40.14,39.32,38.65,46.23,43.35,38.97,0,0,-0.02,0.06,
VLO,50.08,31.20,19204100,41.73,40.94,41.04,45.04,50.60,52.59,54.53,40.25,45.60,52.70,0,0,-0.20,-0.23,
RTX,64.99,10.98,19016400,59.25,58.69,58.72,59.75,62.08,63.21,64.37,58.94,59.87,61.48,0,0,-0.17,-0.12,
WYNN,102.24,27.69,18903900,83.14,79.65,77.50,77.24,80.46,82.15,83.99,75.16,78.11,80.01,0,0,0.15,0.03,
V,212.68,7.16,17906700,197.96,195.88,195.89,197.75,195.79,194.69,193.51,195.09,200.99,197.90,0,0,-0.71,-0.58,
TJX,60.90,12.90,17549900,55.41,54.91,54.93,54.89,54.42,54.35,54.31,54.92,55.22,54.26,0,0,-0.21,-0.14,
VIAC,29.05,-0.85,17012800,29.48,29.25,29.02,28.13,27.19,27.25,27.52,28.63,28.59,26.35,0,0,0.05,0.03,
SBUX,95.88,5.77,16214200,90.99,90.09,89.34,86.19,83.29,82.71,82.27,89.24,86.28,81.31,0,0,0.03,0.07,
USB,44.16,12.74,16087800,40.67,40.09,39.54,38.27,38.47,38.93,39.49,39.46,37.71,37.46,0,0,0.08,0.09,
SCHW,44.96,9.31,14746500,41.97,41.17,40.27,37.98,37.29,37.37,37.53,39.99,37.22,36.25,0,0,0.19,0.17,
WMB,19.35,5.97,14372400,19.01,19.10,19.26,19.71,19.81,19.88,20.00,19.30,20.15,19.96,0,0,-0.03,-0.03,
WBA,39.78,6.62,12103700,37.40,36.97,36.76,37.37,39.38,40.24,41.13,36.70,36.91,39.35,0,0,-0.02,-0.0092,
SYF,29.85,11.38,11257300,27.44,27.20,27.14,26.34,25.54,25.55,25.66,27.35,26.44,24.71,0,0,-0.10,-0.05,
TFC,48.52,12.86,10476500,44.62,43.85,43.06,40.91,40.23,40.39,40.67,42.94,40.19,39.15,0,0,0.11,0.12,
UPS,163.22,-2.66,9451200,163.94,164.72,165.76,160.33,147.03,143.02,139.58,167.80,164.82,141.48,0,0,-0.51,-0.25,
WMT,143.54,-1.53,9388200,143.09,142.73,142.37,139.23,134.50,132.95,131.47,142.99,139.76,132.72,0,0,-0.03,0.05,
UAA,15.37,3.78,9355500,14.71,14.38,13.93,12.51,12.04,12.16,12.38,13.91,11.99,11.02,0,0,0.11,0.11,
VTR,46.85,18.19,9125900,42.33,41.96,41.97,41.68,41.33,41.70,42.27,41.78,42.50,40.09,0,0,-0.16,-0.12,
SLG,60.00,36.92,8430400,48.61,47.40,47.02,47.49,49.96,51.39,52.97,46.25,47.43,48.11,0,0,-0.22,-0.17,
SYY,71.08,16.79,8057400,62.67,61.87,61.95,61.46,60.59,60.74,61.05,62.12,62.24,58.84,0,0,-0.37,-0.25,
WELL,66.66,20.11,7775800,58.75,57.46,56.66,55.88,56.38,57.10,57.98,55.57,56.53,54.85,0,0,0.03,-0.0069,
VNO,38.69,27.40,7716100,33.43,33.07,33.16,34.34,36.86,38.08,39.38,32.86,34.44,36.06,0,0,-0.15,-0.13,
TPR,24.93,2.51,7691300,23.94,23.13,22.02,18.93,17.78,17.86,18.10,21.79,17.98,16.03,0,0,0.28,0.25,
WY,28.14,-0.50,7114100,28.32,28.41,28.55,28.23,27.10,26.82,26.61,28.75,28.87,26.53,0,0,-0.06,-0.03,
UNM,20.73,14.34,6865500,18.97,18.76,18.61,18.26,18.41,18.70,19.10,18.63,18.31,17.71,0,0,0.0018,0.01,
ROST,107.82,15.56,6489700,95.83,94.13,93.47,92.66,92.89,93.33,93.83,92.91,92.77,91.84,0,0,-0.29,-0.20,
SO,62.32,3.94,6351800,60.27,59.79,59.13,56.89,56.31,56.37,56.45,59.28,55.59,55.20,0,0,0.13,0.16,
XLNX,130.35,-2.81,6251700,127.30,124.32,120.84,111.80,105.55,104.07,102.93,120.32,109.06,103.70,0,0,0.64,0.62,
TMUS,122.78,-0.63,6188800,117.68,115.92,114.96,113.04,108.62,106.80,104.98,114.27,114.27,109.79,0,0,-0.17,-0.12,
UA,13.52,3.76,5999300,12.95,12.65,12.23,11.01,10.65,10.78,11.00,12.18,10.56,9.78,0,0,0.11,0.10,
WDC,41.48,4.19,5956900,39.44,39.26,39.09,38.97,40.62,41.41,42.20,39.42,37.75,40.34,0,0,0.06,0.08,
TXN,156.22,-0.96,5307900,152.86,151.16,149.68,144.12,137.65,135.77,134.13,150.01,144.26,136.21,0,0,-0.0038,0.11,
ZION,39.58,23.88,5289500,34.05,33.20,32.52,31.96,32.74,33.23,33.78,32.00,31.60,32.75,0,0,0.10,0.07,
TGT,154.91,-4.08,5091800,157.22,157.57,157.87,152.16,142.05,138.88,135.96,159.57,154.65,138.36,0,0,-0.30,-0.08,
WU,21.44,4.13,5066400,20.81,20.88,21.09,21.74,22.00,22.06,22.11,21.20,22.17,22.18,0,0,-0.08,-0.06,
WAB,68.61,12.24,4953600,63.35,62.62,62.47,63.12,63.15,63.32,63.60,62.06,64.31,63.25,0,0,-0.15,-0.14,
XRX,21.50,12.21,4943600,19.37,19.13,19.08,18.79,19.29,19.77,20.32,19.16,18.97,17.79,0,0,-0.07,-0.04,
UNH,350.00,0.73,4633600,339.57,333.46,328.44,317.96,308.52,305.29,302.19,326.74,316.11,308.85,0,0,0.26,0.36,
VFC,77.81,11.14,4586300,72.18,71.91,72.07,70.36,68.63,68.68,68.97,72.58,70.60,65.93,0,0,-0.28,-0.15,
UNP,198.00,4.17,4487000,189.54,188.99,190.40,190.92,185.07,183.14,181.44,191.80,194.83,184.29,0,0,-1.17,-0.82,
TAP,41.16,7.41,4294900,38.19,37.24,36.50,36.06,37.49,38.27,39.13,35.91,35.83,36.52,0,0,0.06,0.04,
TMO,484.99,-8.09,4191300,498.48,491.93,482.76,451.46,419.56,409.66,400.59,481.45,447.47,411.68,18,16,2.06,1.97,
STX,54.15,1.23,4140900,51.86,51.15,50.66,49.42,49.25,49.37,49.50,50.69,48.67,48.82,0,0,-0.03,0.0075,
TXT,42.49,9.43,3750900,38.85,37.76,37.06,36.45,36.06,36.20,36.47,36.19,37.16,35.59,0,0,0.0037,-0.03,
ULTA,247.20,14.97,3556100,223.04,221.83,222.94,223.74,223.49,224.64,226.27,225.07,226.90,220.62,0,0,-1.10,-0.73,
UDR,38.15,13.81,3542300,34.43,33.74,33.46,33.99,35.45,36.05,36.64,32.92,33.83,35.49,0,0,-0.11,-0.09,
TSN,60.35,5.27,3377200,58.08,58.00,58.25,59.68,61.46,62.28,63.10,58.28,60.44,61.02,0,0,-0.10,-0.10,
TTWO,159.99,-8.68,3188000,164.41,164.01,163.94,162.58,155.98,153.33,150.78,164.58,165.18,156.78,0,0,-0.14,-0.08,
WRK,40.34,3.38,3102500,39.24,39.02,38.63,35.98,34.04,33.78,33.69,39.17,35.35,32.10,0,0,0.07,0.12,
